[2019-07-07 20:16:40 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=28654] exit timeout, forced kill
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=28655] exit timeout, forced kill
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=28656] exit timeout, forced kill
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=28657] exit timeout, forced kill
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=28658] exit timeout, forced kill
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=28659] exit timeout, forced kill
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=28660] exit timeout, forced kill
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=28661] exit timeout, forced kill
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=28656] abnormal exit, status=0, signal=9
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=28661] abnormal exit, status=0, signal=9
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=28660] abnormal exit, status=0, signal=9
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=28659] abnormal exit, status=0, signal=9
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=28658] abnormal exit, status=0, signal=9
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=28657] abnormal exit, status=0, signal=9
[2019-07-07 20:16:43 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=28655] abnormal exit, status=0, signal=9
[2019-07-07 20:16:47 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=28685] exit timeout, forced kill
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=28694] exit timeout, forced kill
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=28688] exit timeout, forced kill
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=28693] exit timeout, forced kill
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=28692] exit timeout, forced kill
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=28691] exit timeout, forced kill
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=28690] exit timeout, forced kill
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=28689] exit timeout, forced kill
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=28694] abnormal exit, status=0, signal=9
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=28693] abnormal exit, status=0, signal=9
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=28692] abnormal exit, status=0, signal=9
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=28691] abnormal exit, status=0, signal=9
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=28690] abnormal exit, status=0, signal=9
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=28689] abnormal exit, status=0, signal=9
